LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,MAX_PAST_DELAY,TOTAL_PAY_AMT,BILL_AMT_TOTAL,UTILISATION,PAYMENT_TO_BILL_RATIO,PAY_AMT_STD,DEFAULT
20000,2,2,1,24,2,689,7704,0.3852,0.08942245295262817,281.2830721296016,1
120000,2,2,2,26,2,5000,17077,0.14230833333333334,0.29277432954678534,752.772652709081,1
90000,2,2,2,34,0,11018,101653,1.1294777777777778,0.10838727448009916,1569.8154880961863,0
50000,2,2,1,37,0,8388,231334,4.62668,0.03625910476149307,478.05815545809907,0
50000,1,2,1,57,0,59049,109339,2.18678,0.5400493872324859,13786.23073577401,0
50000,1,1,2,37,0,7772,238114,4.76228,0.03263969090565483,713.9388395840828,0
500000,1,1,2,29,0,180759,2724595,5.44919,0.0663434138492459,16802.717086828547,0
100000,2,2,2,23,0,4791,13486,0.13486,0.3552309631496997,669.5194545343697,0
140000,2,3,1,28,2,6761,65212,0.4658,0.10367564749359791,1153.2861599215812,0
20000,1,3,2,35,-1,14129,26919,1.34595,0.524851411589896,5237.73792458793,0
200000,2,3,2,34,2,6472,34467,0.172335,0.18776836486016016,1575.1920094600107,0
260000,2,1,2,51,2,66308,88369,0.3398807692307692,0.75034513975331,9239.118565462111,0
630000,2,2,2,41,0,23370,41007,0.06509047619047618,0.5698888021849395,2998.691381252829,0
70000,1,2,2,30,2,10700,338685,4.838357142857143,0.031592684669575946,1510.5186747162932,1
250000,1,1,2,29,0,18000,373591,1.494364,0.048180903231332575,0.0,0
50000,2,3,3,23,2,6200,196416,3.92832,0.03156549585830147,527.8888771954441,0
20000,1,1,2,24,2,6350,106161,5.30805,0.059814246152107155,1303.2331589806436,1
320000,1,1,1,49,0,361897,966014,3.01879375,0.37462875835261356,71140.56620077371,0
360000,2,1,1,49,1,0,0,0.0,0.0,0.0,0
180000,2,1,2,29,1,0,0,0.0,0.0,0.0,0
130000,2,3,2,39,0,42231,123883,0.9529461538461539,0.34089147912563367,13114.816594218923,0
120000,2,2,1,39,-1,1580,1896,0.0158,0.8328940432261466,237.87615825606963,1
70000,2,2,2,26,2,11010,265475,3.7925,0.041472675496090045,1608.4168613888628,1
450000,2,1,1,40,-2,22589,26965,0.059922222222222224,0.8376844915819921,7696.220849655152,1
90000,1,1,2,23,0,16400,31864,0.35404444444444444,0.5146712694178566,2327.0930936829036,0
50000,1,3,2,23,0,7891,214295,4.2859,0.036822899167506626,380.18491115070134,0
60000,1,1,2,27,1,2500,-394,-0.006566666666666667,-6.361323155216285,491.59604012508754,1
50000,2,3,2,30,0,7112,112268,2.24536,0.06334785203395417,211.6853010170207,0
50000,2,3,1,47,-1,39567,40208,0.80416,0.984033425352533,11770.04477051808,0
50000,1,1,2,26,0,6600,97082,1.94164,0.06798306603627824,600.0,0
230000,2,1,2,27,-1,97489,113746,0.4945478260869565,0.85706875785735,12010.734988611925,0
50000,1,2,2,33,2,6934,151869,3.03738,0.045657470204780407,374.376103225976,1
100000,1,1,2,32,0,18744,495237,4.95237,0.03784846881701323,342.9956267942785,0
500000,2,2,1,54,-2,158502,125744,0.251488,1.260503399737564,28889.184640622865,0
500000,1,1,1,58,-2,45425,58318,0.116636,0.778905673965603,11763.848765037177,0
160000,1,1,2,30,-1,2280,25312,0.1582,0.09007229486824951,286.66426355581893,0
280000,1,2,1,40,0,41923,1069977,3.8213464285714287,0.03918117942611904,831.1987528062507,0
60000,2,2,2,22,0,53349,32279,0.5379833333333334,1.6526951672862453,19011.998682411064,0
50000,1,1,2,25,1,780,780,0.0156,0.998719590268886,318.43366656181314,1
280000,1,1,2,31,2,37357,51643,0.18443928571428572,0.7233560529780807,4574.295111453422,0
360000,1,1,2,33,0,243840,1650751,4.585419444444445,0.1477144961811344,73124.3981171811,0
70000,2,1,2,25,0,19342,392856,5.612228571428571,0.04923419972152717,845.6480749500154,0
10000,1,2,2,22,0,7227,22761,2.2761,0.3175028556365873,943.653273188834,0
140000,2,2,1,37,0,20000,385134,2.7509571428571427,0.051929842782400974,516.3977794943223,0
40000,2,1,2,30,2,13000,147185,3.679625,0.08832361773538244,1940.7902170679517,0
210000,1,1,2,29,-2,0,0,0.0,0.0,0.0,1
20000,2,1,2,22,2,20075,79328,3.9664,0.25306004109468166,6666.408820846999,1
150000,2,4,2,46,0,2183,9837,0.06558,0.2218946940435048,565.8305105476963,1
380000,1,2,2,32,-1,93332,114815,0.30214473684210524,0.8128832218506131,6321.636328251307,0
20000,1,1,2,24,0,6246,115810,5.7905,0.0539327006933711,243.132885476235,0
70000,1,3,2,42,2,8100,229012,3.2716,0.03536917118242196,1197.914855071094,1
100000,2,3,3,43,0,9606,265185,2.65185,0.036223631715098084,374.17375642874794,0
310000,2,2,1,49,-2,30668,44125,0.14233870967741935,0.6950097448216471,4492.231323815223,0
180000,2,1,2,25,2,10246,259151,1.4397277777777777,0.03953664258813361,235.6350285222184,0
150000,2,1,2,29,2,12867,176751,1.17834,0.07279691318910111,1433.0836332887206,0
500000,2,1,1,45,-2,6483,8388,0.016776,0.7727977112885922,1593.4028680782524,0
180000,2,3,1,34,0,29179,55404,0.3078,0.5266492193845321,3855.092757206585,0
180000,2,2,1,34,0,34062,952362,5.2909,0.035765774184843384,1649.1811301370144,0
200000,2,1,2,34,3,1900,6747,0.033735,0.2815649081209247,515.4286242213045,0
400000,2,2,1,29,0,109029,2284140,5.71035,0.04773304274998785,7080.259423213249,0
500000,2,3,1,28,0,8816,109699,0.219398,0.08036463081130356,454.8875318874619,1
70000,1,2,1,39,0,12120,244242,3.4891714285714284,0.04962271180750318,1421.7770570662617,0
50000,1,1,2,29,2,6125,157674,3.15348,0.038845726970033294,1218.8536280729802,1
50000,2,2,1,46,0,1000,57884,1.15768,0.01727563272004837,408.248290463863,1
130000,2,2,1,51,-1,2353,2452,0.01886153846153846,0.9592335915205871,960.6082274614697,0
200000,1,1,1,57,2,9522,469636,2.34818,0.020275233850825213,3273.526233284224,1
10000,1,2,1,56,2,3010,22852,2.2852,0.1317113726862994,884.0908701409979,1
210000,2,1,2,30,2,9198,8589,0.0409,1.070779976717113,1517.229580518387,0
130000,2,3,2,29,2,41379,7901,0.060776923076923076,5.236522399392559,8577.244423473077,0
20000,1,4,2,22,2,3700,88326,4.4163,0.041889795872156875,530.722777603022,0
80000,1,1,2,31,-1,1950,2340,0.02925,0.8329773601025203,159.21683328090657,0
320000,1,2,2,29,2,13800,362152,1.131725,0.03810544162273956,1556.920036482285,1
200000,2,2,1,32,2,19512,26425,0.132125,0.7383637326875048,3611.2675890883525,0
290000,2,1,2,37,1,5514,5514,0.019013793103448275,0.999818676337262,1445.789749583251,0
340000,1,1,2,32,-1,141997,142199,0.41823235294117644,0.9985724331926864,29687.73169790287,0
20000,1,2,2,24,2,5590,101328,5.0664,0.05516683279219177,1089.3560789138999,0
50000,1,3,2,25,0,6358,145406,2.90812,0.04372554278679844,612.2027986432818,0
300000,2,1,1,45,-1,1746,1746,0.00582,0.9994275901545506,0.0,0
30000,2,2,2,22,0,8411,149186,4.9728666666666665,0.05637890700932387,1043.1299855083578,1
240000,2,2,2,44,1,0,0,0.0,0.0,0.0,1
470000,2,3,3,33,0,21926,614823,1.3081340425531915,0.035662238299090473,2756.847595835988,0
360000,2,1,2,26,0,161355,294903,0.819175,0.5471441553861596,58810.47536536327,0
60000,1,3,2,30,0,5345,143566,2.3927666666666667,0.0372300041095795,548.2643218983584,1
400000,2,2,1,44,2,22753,700952,1.75238,0.03246009361540645,3594.143592939307,0
50000,2,3,2,49,0,6052,177499,3.54998,0.03409577464788732,395.3245080521402,0
160000,1,2,2,33,0,101747,667013,4.16883125,0.15254102612538867,30887.125281687622,0
360000,2,1,1,45,2,2340,3510,0.00975,0.6664767872401025,427.22359485402956,1
160000,2,2,2,32,0,8216,31623,0.19764375,0.2598026815077157,889.4640333744062,0
130000,2,1,1,35,0,56705,226534,1.7425692307692309,0.2503145209349549,15145.841811093456,0
